Term,Program,Course,Type
1,236,CSF13,Obrigatoria
1,236,CSX10,Obrigatoria
1,236,ENADE I,Obrigatoria
1,236,MA70E,Obrigatoria
2,236,CSD20,Obrigatoria
2,236,CSE20,Obrigatoria
2,236,CSF20,Obrigatoria
2,236,CSG10,Obrigatoria
2,236,CSX50,Obrigatoria
2,236,MA71B,Obrigatoria
3,236,CSA31,Segundo Estrato
3,236,CSD21,Obrigatoria
3,236,CSE40,Segundo Estrato
3,236,CSF30,Obrigatoria
3,236,CSG30,Segundo Estrato
3,236,CSH30,Segundo Estrato
3,236,CSI30,Segundo Estrato
3,236,CSM30,Segundo Estrato
3,236,CSV30,Segundo Estrato
3,236,CSW20,Obrigatoria
3,236,CSW31,Segundo Estrato
3,236,ES70G,Obrigatoria
3,236,ES70S,Segundo Estrato
3,236,GE71A,Obrigatoria
3,236,GE73A,Segundo Estrato
3,236,MA70H,Obrigatoria
4,236,CSA30,Obrigatoria
4,236,CSA40,Trilha
4,236,CSA41,Trilha
4,236,CSA42,Trilha
4,236,CSA43,Trilha
4,236,CSA44,Trilha
4,236,CSA45,Trilha
4,236,CSB30,Obrigatoria
4,236,CSB40,Trilha
4,236,CSB41,Trilha
4,236,CSB42,Trilha
4,236,CSB50,Trilha
4,236,CSB51,Trilha
4,236,CSB52,Trilha
4,236,CSB53,Trilha
4,236,CSB54,Trilha
4,236,CSD40,Trilha
4,236,CSD41,Trilha
4,236,CSD42,Trilha
4,236,CSD45,Trilha
4,236,CSD47,Trilha
4,236,CSD52,Trilha
4,236,CSD54,Trilha
4,236,CSD55,Trilha
4,236,CSD56,Trilha
4,236,CSE41,Trilha
4,236,CSE42,Trilha
4,236,CSE43,Trilha
4,236,CSE44,Trilha
4,236,CSE45,Trilha
4,236,CSE46,Trilha
4,236,CSE47,Trilha
4,236,CSE48,Trilha
4,236,CSG20,Obrigatoria
4,236,CSG41,Trilha
4,236,CSG42,Trilha
4,236,CSG43,Trilha
4,236,CSG44,Trilha
4,236,CSG45,Trilha
4,236,CSG47,Trilha
4,236,CSG48,Trilha
4,236,CSG70,Trilha
4,236,CSH41,Trilha
4,236,CSH42,Trilha
4,236,CSH43,Trilha
4,236,CSH44,Trilha
4,236,CSH45,Trilha
4,236,CSH50,Trilha
4,236,CSH51,Trilha
4,236,CSI31,Trilha
4,236,CSI41,Trilha
4,236,CSI42,Trilha
4,236,CSI50,Trilha
4,236,CSI51,Trilha
4,236,CSI52,Trilha
4,236,CSI53,Trilha
4,236,CSI54,Trilha
4,236,CSI55,Trilha
4,236,CSI56,Trilha
4,236,CSI57,Trilha
4,236,CSI58,Trilha
4,236,CSL40,Trilha
4,236,CSL41,Trilha
4,236,CSM40,Trilha
4,236,CSM41,Trilha
4,236,CSM42,Trilha
4,236,CSM43,Trilha
4,236,CSM44,Trilha
4,236,CSM45,Trilha
4,236,CSO30,Obrigatoria
4,236,CSR20,Trilha
4,236,CSR31,Trilha
4,236,CSR40,Trilha
4,236,CSR41,Trilha
4,236,CSR42,Trilha
4,236,CSR43,Trilha
4,236,CSR44,Trilha
4,236,CSR45,Trilha
4,236,CSR46,Trilha
4,236,CSR47,Trilha
4,236,CSR48,Trilha
4,236,CSV40,Trilha
4,236,CSV41,Trilha
4,236,CSV42,Trilha
4,236,CSV43,Trilha
4,236,CSV45,Trilha
4,236,CSV50,Trilha
4,236,CSV52,Trilha
4,236,CSV53,Trilha
4,236,CSW21,Trilha
4,236,CSW40,Trilha
4,236,CSW41,Trilha
4,236,CSW42,Trilha
4,236,CSW43,Trilha
4,236,CSW44,Trilha
4,236,CSW45,Trilha
4,236,CSW46,Trilha
4,236,CSW51,Trilha
4,236,CSW53,Trilha
4,236,CSW55,Trilha
4,236,CSX20,Obrigatoria
4,236,GE65C,Trilha
4,236,GE72A,Obrigatoria
4,236,MA70C,Trilha
5,236,CE70B,Opcional
5,236,CSE30,Obrigatoria
5,236,CSR30,Obrigatoria
5,236,CSX51,Obrigatoria
5,236,ED70G,Opcional
5,236,ED70H,Opcional
5,236,ELSC01,Opcional
5,236,ELSP01,Opcional
5,236,ES70B,Obrigatoria
5,236,ES70H,Opcional
5,236,ES70J,Opcional
5,236,ES70P,Opcional
5,236,FCH7FC,Opcional
5,236,FCH7GA,Opcional
5,236,FCH7HB,Opcional
5,236,FCH7HC,Opcional
5,236,FCH7SC,Opcional
5,236,FCH7XF,Opcional
5,236,FCH7XG,Opcional
5,236,GE78B,Opcional
5,236,QB70E,Opcional
5,236,QB70F,Obrigatoria
6,236,CSS30,Obrigatoria
6,236,CSX30,Obrigatoria
6,236,CSX52,Obrigatoria
7,236,CSX40,Obrigatoria
8,236,CSX41,Obrigatoria
8,236,ENADE C,Obrigatoria
