Nome,Codigo,Carga Horaria
FUNDAMENTOS DE PROGRAMAÇÃO 1,CSF13,90
PROLEGÔMENOS AO COMPUTAR,CSX10,60
ENADE INGRESSANTE,ENADE I,0
TÓPICOS MATEMÁTICOS,MA70E,90
INTRODUÇÃO À LÓGICA PARA A COMPUTAÇÃO,CSD20,45
TÉCNICAS DE PROGRAMAÇÃO,CSE20,60
ESTRUTURA DE DADOS 1,CSF20,45
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,CSG10,60
ATIVIDADES COMPLEMENTARES,CSX50,180
GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,MA71B,90
TEORIA DA COMPUTAÇÃO,CSA31,45
MATEMÁTICA DISCRETA,CSD21,45
ENGENHARIA DE SOFTWARE 2,CSE40,45
ESTRUTURA DE DADOS 2,CSF30,45
GESTÃO DA INFORMAÇÃO EM SISTEMAS DE INFORMAÇÃO,CSG30,45
INTRODUÇÃO À INTERAÇÃO HUMANO-COMPUTADOR,CSH30,45
SISTEMAS INTELIGENTES,CSI30,45
DESENVOLVIMENTO INTEGRADO DE SISTEMAS,CSM30,45
PROCESSAMENTO DIGITAL DE IMAGENS,CSV30,60
ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,CSW20,60
ELETRICIDADE,CSW31,45
SOCIOLOGIA,ES70G,45
HISTÓRIA DA TÉCNICA E DA TECNOLOGIA,ES70S,45
TEORIAS DA ADMINISTRAÇÃO,GE71A,60
COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES,GE73A,45
PROBABILIDADE E ESTATÍSTICA,MA70H,60
PROJETO E ANÁLISE DE ALGORITMOS,CSA30,45
ALGORITMOS E COMPLEXIDADE,CSA40,60
COMPLEXIDADE COMPUTACIONAL,CSA41,60
TEORIA DOS GRAFOS,CSA42,60
COMPUTAÇÃO QUÂNTICA,CSA43,60
INTRODUÇÃO À CRIPTOGRAFIA,CSA44,60
GEOMETRIA COMPUTACIONAL,CSA45,60
INTRODUÇÃO A BANCO DE DADOS,CSB30,60
BIBLIOTECAS DIGITAIS,CSB40,60
BANCO DE DADOS 2,CSB41,60
COMPUTAÇÃO BASEADA EM DADOS,CSB42,45
BANCO DE DADOS,CSB50,45
RECUPERAÇÃO INTELIGENTE DE INFORMAÇÕES,CSB51,45
DATA WAREHOUSING,CSB52,45
INTRODUÇÃO A CIÊNCIAS DE DADOS,CSB53,60
INTRODUCTION TO DATA SCIENCE,CSB54,60
SIMULAÇÃO DE EVENTOS DISCRETOS,CSD40,60
PROGRAMAÇÃO MATEMÁTICA,CSD41,45
SIMULAÇÃO DE SISTEMAS BIOLÓGICOS E SOCIAIS,CSD42,45
MODELAGEM E AVALIAÇÃO DE SISTEMAS,CSD45,60
OTIMIZAÇÃO DE SISTEMAS,CSD47,45
INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,CSD52,60
TEORIA DE FILAS,CSD54,45
MÉTODOS ESTOCÁSTICOS,CSD55,45
METAHEURÍSTICA,CSD56,45
ENGENHARIA DE REQUISITOS,CSE41,45
METODOLOGIAS ÁGEIS PARA O DESENVOLVIMENTO DE SOFTWARE,CSE42,45
"TESTES, VERIFICAÇÃO E VALIDAÇÃO DE SISTEMAS",CSE43,45
SISTEMAS LEGADOS,CSE44,45
MODELAGEM DE SOFTWARE,CSE45,45
MÉTRICAS E ESTIMATIVAS DE SOFTWARE,CSE46,45
GERÊNCIA DE PROJETOS,CSE47,45
QUALIDADE DE SOFTWARE,CSE48,45
ANÁLISE E PROJETO DE SISTEMAS,CSG20,45
TECNOLOGIAS DA INFORMAÇÃO APLICADA À GESTÃO,CSG41,45
GESTÃO DO CONHECIMENTO,CSG42,30
SISTEMAS DE APOIO À DECISÃO,CSG43,60
INFORMÁTICA EM SAÚDE,CSG44,60
SISTEMAS DE INFORMAÇÃO EM SAÚDE,CSG45,60
INTELIGÊNCIA COLETIVA E REDES SOCIAIS ELETRÔNICAS,CSG47,45
MODELAGEM DE PROCESSOS DE NEGÓCIOS,CSG48,60
SISTEMAS DE INFORMAÇÃO E ORGANIZAÇÕES,CSG70,45
AVALIAÇÃO EM INTERAÇÃO HUMANO-COMPUTADOR,CSH41,45
ACESSIBILIDADE E INCLUSÃO DIGITAL,CSH42,45
TRABALHO COOPERATIVO APOIADO POR COMPUTADOR,CSH43,60
COMPUTAÇÃO E SOCIEDADE,CSH44,45
TÓPICOS EM DESIGN DE INTERAÇÃO,CSH45,60
FUNDAMENTOS EM INTERAÇÃO,CSH50,45
DESIGN DE INTERAÇÃO,CSH51,45
Ciências das Redes,CSI31,60
REDES NEURAIS,CSI41,45
META-HEURISTICAS INSPIRADAS EM INTELIGÊNCIA COLETIVA,CSI42,45
INTELIGÊNCIA ARTIFICIAL,CSI50,45
COMPUTAÇÃO EVOLUCIONÁRIA,CSI51,45
INTELIGÊNCIA ARTIFICIAL DISTRIBUÍDA,CSI52,45
MINERAÇÃO DE DADOS,CSI53,45
ONTOLOGIAS,CSI54,45
SISTEMAS AUTÔNOMOS INTELIGENTES,CSI55,45
SISTEMAS FUZZY,CSI56,45
INTRODUÇÃO ÀS CIÊNCIAS COGNITIVAS,CSI57,45
DATA MINING,CSI58,45
ESTRUTURA DE LINGUAGENS DE PROGRAMAÇÃO,CSL40,60
CONSTRUÇÃO DE COMPILADORES,CSL41,60
HTML/CSS,CSM40,60
DESENVOLVIMENTO DE APLICAÇÕES WEB,CSM41,60
INFRAESTRUTURA PARA TECNOLOGIA DE INFORMAÇÃO,CSM42,60
PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS E SEM FIO,CSM43,60
WEB DESIGN,CSM44,90
COMPUTAÇÃO EM NUVEM,CSM45,60
SISTEMAS OPERACIONAIS,CSO30,60
CABEAMENTO ESTRUTURADO,CSR20,30
COMUNICAÇÃO DE DADOS,CSR31,30
REDES E SISTEMAS DE COMUNICAÇÃO MÓVEIS,CSR40,60
OFICINA DE REDES,CSR41,60
INFRAESTRUTURA DE LANS HIERARQUICAS,CSR42,60
INFRAESTRUTURA DE WANS,CSR43,60
SEGURANÇA DE REDES E SISTEMAS,CSR44,60
PROJETO DE INFRAESTRUTURA DE REDES,CSR45,45
ROTEAMENTO E QUALIDADE DE SERVIÇOS EM REDES,CSR46,45
REDES SEM FIO,CSR47,45
SIMULAÇÃO E ANÁLISE DE DESEMPENHO DE REDES DE COMPUTADORES,CSR48,45
COMPUTAÇÃO GRÁFICA,CSV40,60
INTRODUÇÃO À VISÃO COMPUTACIONAL,CSV41,60
TÓPICOS AVANÇADOS EM PROCESSAMENTO GRÁFICO,CSV42,60
PROCESSAMENTO DIGITAL DE IMAGENS 2,CSV43,60
RECONHECIMENTO DE PADRÕES EM IMAGENS,CSV45,60
COMPUTAÇÃO GRÁFICA 2,CSV50,45
VISÃO COMPUTACIONAL,CSV52,45
FUNDAMENTOS DO PROCESSAMENTO DE IMAGENS MÉDICAS,CSV53,45
FUNDAMENTOS DE CIRCUITOS DIGITAIS,CSW21,90
SISTEMAS MICROCONTROLADOS,CSW40,60
SISTEMAS EMBARCADOS,CSW41,60
LÓGICA RECONFIGURÁVEL,CSW42,60
ARQUITETURA AVANÇADA DE COMPUTADORES,CSW43,60
ARQUITETURA DE COMPUTADORES PARALELOS,CSW44,60
ROBÓTICA MÓVEL,CSW45,45
ENGENHARIA DE SISTEMAS APLICADA A SISTEMAS CIBERFÍSICOS,CSW46,45
SISTEMAS EMBARCADOS PPGCA,CSW51,45
COMPUTAÇÃO RECONFIGURÁVEL,CSW53,45
TÓPICOS AVANÇADOS EM SISTEMAS EMBARCADOS,CSW55,45
TRABALHO DE INTEGRAÇÃO 1,CSX20,45
LEGISLAÇÃO PARA INFORMÁTICA,GE65C,30
TEORIAS ORGANIZACIONAIS,GE72A,60
CÁLCULO NUMÉRICO,MA70C,60
COMUNICAÇÃO ORAL E ESCRITA,CE70B,30
ENGENHARIA DE SOFTWARE,CSE30,60
REDES DE COMPUTADORES,CSR30,45
ESTÁGIO 1,CSX51,200
LIBRAS 1,ED70G,30
LIBRAS 2,ED70H,30
SMART CHALLENGES,ELSC01,120
SMART PROJECTS,ELSP01,120
PSICOLOGIA APLICADA AO TRABALHO,ES70B,30
FUNDAMENTOS DA ÉTICA,ES70H,30
A PRESENÇA AFRICANA NO BRASIL: TECNOLOGIA E TRABALHO,ES70J,30
FILOSOFIA DA CIÊNCIA E DA TECNOLOGIA,ES70P,45
TEORIA DAS CIÊNCIAS HUMANAS,FCH7FC,45
METROPOLIZAÇÃO CONTEMPORÂNEA: TECNOLOGIA E TERRITÓRIO,FCH7GA,45
HISTÓRIA GERAL DA ECONOMIA,FCH7HB,45
CAPITALISMO CONTEMPORÂNEO E ECONOMIA POLÍTICA,FCH7HC,45
"TECNOLOGIA, TRABALHO E SAÚDE",FCH7SC,45
DIMENSÃO AMBIENTAL NA GESTÃO URBANA,FCH7XF,45
TECNOPOLÍTICAS DA SOCIEDADE CONTEMPORÂNEA,FCH7XG,45
RESPONSABILIDADE SOCIAL E DESENVOLVIMENTO SUSTENTÁVEL,GE78B,45
CIÊNCIAS DO AMBIENTE,QB70E,30
DESENVOLVIMENTO SUSTENTÁVEL,QB70F,30
SISTEMAS DISTRIBUÍDOS,CSS30,60
TRABALHO DE INTEGRAÇÃO 2,CSX30,45
ESTÁGIO 2,CSX52,200
TRABALHO DE CONCLUSÃO DE CURSO 1,CSX40,30
TRABALHO DE CONCLUSÃO DE CURSO 2,CSX41,30
ENADE CONCLUINTE,ENADE C,0
